ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_escola,id_escola_nome,id_escola_latitude,id_escola_longitude,anos_escolares,ideb,projecao
2005,MA,Maranhão,2111789,Serrano do Maranhão,21005451,CEF SAGRADO CORACAO,,,finais (6-9),,
2011,MA,Maranhão,2111789,Serrano do Maranhão,21005621,CEF FILOMENA CHAGAS PAZ,-1.8565598,-45.12718704,iniciais (1-5),,
2005,MA,Maranhão,2111789,Serrano do Maranhão,21005621,CEF FILOMENA CHAGAS PAZ,-1.8565598,-45.12718704,iniciais (1-5),,
2023,MA,Maranhão,2103703,Cururupu,21005680,CENTRO DE ENSINO PROFESSORA JOANA BATISTA DIAS,-1.8222886,-44.8661706,todos (1-4),,
2023,MA,Maranhão,2103703,Cururupu,21005680,CENTRO DE ENSINO PROFESSORA JOANA BATISTA DIAS,-1.8222886,-44.8661706,finais (6-9),,
2015,MA,Maranhão,2103703,Cururupu,21005680,CENTRO DE ENSINO PROFESSORA JOANA BATISTA DIAS,-1.8222886,-44.8661706,finais (6-9),,4.6
2025,MA,Maranhão,2103703,Cururupu,21005737,UI ELEOTERIO FERREIRA,-1.5086527,-44.7549607,finais (6-9),,
2005,MA,Maranhão,2103703,Cururupu,21005745,UE FLAVIO CUNHA,-1.8180093,-44.8753461,iniciais (1-5),,
2011,MA,Maranhão,2103703,Cururupu,21005745,UE FLAVIO CUNHA,-1.8180093,-44.8753461,iniciais (1-5),,3.0
2019,MA,Maranhão,2103703,Cururupu,21005745,UE FLAVIO CUNHA,-1.8180093,-44.8753461,iniciais (1-5),,4.1
2023,MA,Maranhão,2103703,Cururupu,21005745,UE FLAVIO CUNHA,-1.8180093,-44.8753461,iniciais (1-5),,
2005,MA,Maranhão,2103703,Cururupu,21005761,UI JULIO SOUSA RIBEIRO,-1.7218978,-44.7915475,iniciais (1-5),,
2011,MA,Maranhão,2103703,Cururupu,21005761,UI JULIO SOUSA RIBEIRO,-1.7218978,-44.7915475,finais (6-9),,
2019,MA,Maranhão,2111789,Serrano do Maranhão,21005800,CEF LUDGERA PIRES DOS SANTOS,-1.89604,-45.06615821,iniciais (1-5),,4.0
2015,MA,Maranhão,2103703,Cururupu,21005869,UE DR TANCREDO DE ALMEIDA NEVES,-1.83714633341879,-44.8634230066091,iniciais (1-5),,5.1
